"indication"|"icd"|"source_data"
Hemophilia|ICD-11: 3B10.0|public
Hepatovirus infection|ICD-11: 1E51|public
Hereditary haemolytic anaemia|ICD-11: 3A10|public
Hidradenitis suppurativa|ICD-11: ED92|public
Infantile spasm|ICD-11: 8A62.0|public
Inherited retinal dystrophy|ICD-11: 9B70|public
Invasive candidiasis|ICD-11: 1F23|public
Irritable bowel syndrome|ICD-11: DD91|public
Ischemic optic neuropathy|ICD-11: 9C40.4|public
Keratoconus|ICD-11: 9A78.50|public
Meningioma|ICD-11: 2A01|public
Methicillin-resistant staphylococci infection|ICD-11: 1A00-1A09|public
Mood disorder|ICD-11: 6A60-6E23|public
Motion sickness|ICD-11: NF08.3|public
Myopic macular degeneration|ICD-11: 9B75.Y|public
Neuroendocrine cancer|ICD-11: 2B72.1|public
Oesophageal ulcer|ICD-11: DA25|public
Ophthalmic surgery injury|ICD-11: PK97|public
Oropharyngeal cancer|ICD-11: 2B6A|public
Premature ageing appearance|ICD-11: LD2B|public
Pruritus|ICD-11: EC90|public
Pyruvate dehydrogenase complex deficiency|ICD-11: 5C53.02|public
Scorpion envenoming syndrome|ICD-11: 8D43|public
Skin and skin-structure infection|ICD-11: 1F28-1G0Z|public
Somnolence|ICD-11: MG42|public
Status epilepticus seizure|ICD-11: 8A66.1Y|public
Testicular germ cell tumour|ICD-11: 2C80.2|public
Trematode disease|ICD-11: 1F8Y|public
Vascular disease|ICD-11: BE2Z|public
Vasomotor symptom|ICD-11: CA08|public
Vitamin B12 deficiency|ICD-11: 5B5F|public
Von Willebrand disease|ICD-11: 3B12|public
Waldenstrom macroglobulinemia|ICD-11: 2A85.4|public
X-linked Adrenoleukodystrophy|ICD-11: 5C57|public
uveitic macular edema|ICD-11: 9B78|public
Acute lymphocytic leukaemia|ICD-11: 2B33.3|public
Acute viral hepatitis|ICD-11: 1E50|public
Advanced cancer|ICD-11: 2A00-2F9Z|public
Arenavirus disease|ICD-11: 1D61|public
Aromatic L-amino acid decarboxylase deficiency|ICD-11: 5C59.00|public
Ataxia|ICD-11: MB45.0|public
Bacillary dysentery|ICD-11: 1A02|public
Biliary tract cancer|ICD-11: 2C17|public
Blood-forming organ disease|ICD-11: 3C0Z|public
C. difficile infection|ICD-11: 1A04|public
CNS non-viral infection|ICD-11: 1D0Y|public
Cardiac output syndrome|ICD-11: BC43|public
Castleman's disease|ICD-11: 4B2Y|public
Cell proliferative disorder|ICD-11: FB86|public
Chondrosarcoma|ICD-11: 2B50|public
Cirrhosis|ICD-11: DB93|public
Cocaine addiction|ICD-11: 6C45.2|public
Congestive heart failure|ICD-11: BD10|public
Contraceptive management|ICD-11: QA21|public
Critical limb ischemia|ICD-11: BD4Y|public
Cystine urolithiasis|ICD-11: GB70-GB7Z|public
Dental disease|ICD-11: DA08|public
Diabetic foot ulcer|ICD-11: BD54|public
Diagnostic radiopharmaceutical|ICD-11: N.A.|public
Dizziness and giddiness|ICD-11: MB48|public
Endometriosis|ICD-11: GA10|public
Epileptic encephalopathy|ICD-11: 8A62|public
Exudative age-related macular degeneration|ICD-11: 9B78.3Z|public
Gastric motility disorder|ICD-11: DA21|public
Hepatitis C|ICD-11: 1E51|public
Human immunodeficiency virus disease|ICD-11: 1C60-1C62|public
Hyperkalaemia|ICD-11: 5C76|public
Infantile colics|ICD-11: DD93.1|public
Infectious meningitis|ICD-11: 1D01|public
Intervertebral disc displacement|ICD-11: FB1Y|public
Intoxication|ICD-11: 6C40-6C4B|public
Invasive aspergillosis|ICD-11: 1F20.0|public
Lewy body dementia|ICD-11: 6D82|public
Light sensitivity impairment|ICD-11: 9D45|public
Liver disease|ICD-11: DB90-BD99|public
Meningococcal infection|ICD-11: 1C1C|public
Metastatic lymph node neoplasm|ICD-11: 2D60|public
Metastatic tumour|ICD-11: 2D50-2E2Z|public
Multiple structural anomalies syndrome|ICD-11: LD2F|public
Musculoskeletal system/connective tissue disease|ICD-11: FC0Z|public
Myeloproliferative syndrome|ICD-11: 2A22|public
Myopathy|ICD-11: 8C7Y|public
Necrotising fasciitis|ICD-11: 1B71|public
Neisseria gonorrhoeae infection|ICD-11: 1A7Z|public
Neonatal hyperbilirubinemia|ICD-11: KA87|public
Nervous system paraneoplastic or autoimmune disorders|ICD-11: 8E4A.1|public
Nicotine use disorder|ICD-11: 6C4A|public
Non-specific cutaneous vascular sympton|ICD-11: ME64|public
Ocular disease|ICD-11: N.A.|public
Pandemic influenza infection|ICD-11: 1E30|public
Pediatric glioma|ICD-11: 2A00.0|public
Pregnancy/childbirth/puerperium maternal infection|ICD-11: JB63|public
Primary insomnia|ICD-11: 7A00|public
Primary mediastinal B-cell lymphoma|ICD-11: 2A81|public
Pseudomonas aeruginosa infections|ICD-11: GC08|public
Psoriasis vulgaris|ICD-11: EA90|public
Radiocontrast agent|ICD-11: N.A.|public
Raynaud phenomenon|ICD-11: BD42|public
Renal artery disease|ICD-11: BD40.2|public
Respiratory disease|ICD-11: CB40|public
Respiratory tract disease|ICD-11: CB7Z|public
Salivary gland dysfunction|ICD-11: 5B0Z|public
Sarcopenia|ICD-11: FB32.Y|public
Sciatica|ICD-11: ME84.3|public
Spinal pain|ICD-11: ME84|public
Staphylococcus infection|ICD-11: 1B5Y|public
Strongyloidiasis|ICD-11: 1F6B|public
Suicidal ideation|ICD-11: MB26.A|public
Tourette syndrome|ICD-11: 8A05.00|public
Trigeminal neuralgia|ICD-11: 8B82.0|public
Urgency|ICD-11: N.A.|public
Vibrio cholerae infection|ICD-11: 1A00|public
Virus infection|ICD-11: 1A24-1D9Z|public
Von hippel-lindau disease|ICD-11: 5A75|public
Acquired haemolytic anemia|ICD-11: 3A4Z|public
Acute lymphoblastic leukaemia|ICD-11: 2A85|public
Adolescent meningitis|ICD-11: 1D01.10|public
Arteriosclerosis|ICD-11: BD40|public
Autoimmune liver disease|ICD-11: DB96|public
Autosomal Recessive Ichthyosis|ICD-11: ED20|public
Biliary cancer|ICD-11: 2E92.7|public
Blastic plasmacytoid dendritic cell neoplasm|ICD-11: 2A60.5|public
Brain ischaemia|ICD-11: 8B1Z|public
Breast in situ carcinoma|ICD-11: 2E65|public
CNS anomalies syndrome|ICD-11: LD20|public
Chemotherapy/radiotherapy-induced mucositis|ICD-11: DA42-DA60|public
Cholangiocarcinoma|ICD-11: 2C12.10|public
Chronic functional vomiting|ICD-11: DD90.4|public
Chronic myeloid leukaemia|ICD-11: 2A20|public
Clostridium infection|ICD-11: 1A04|public
Congenital ichthyosis|ICD-11: EC20|public
Congenital thrombotic thrombocytopenic purpura|ICD-11: 3B64.14|public
Coronary thrombosis|ICD-11: BA43|public
Cutaneous T-cell lymphoma|ICD-11: 2B01|public
Epithelioid mesothelioma|ICD-11: 2F10|public
Erythema|ICD-11: ME64.0|public
Estrogen deficiency|ICD-11: FB83.0Y|public
Ewing sarcoma|ICD-11: 2B52|public
Factor VIII deficiency|ICD-11: 3B10|public
Faecal incontinence|ICD-11: ME07|public
Falciparum malaria|ICD-11: 1F40-1F45|public
Fatigue|ICD-11: MG22|public
Fatty liver disease|ICD-11: DB92.Z|public
Fever|ICD-11: MG26|public
Genitourinary tract cancer|ICD-11: 2C8Z|public
HER2/NEU overexpressing breast cancer|ICD-11: 2C60-2C65|public
Hepatocellular carcinoma|ICD-11: 2C12.02|public
Hereditary haemolytic anemia|ICD-11: 3A10.3|public
Herpes zoster|ICD-11: 1E91|public
Hutchinson-Gilford progeria syndrome|ICD-11: LD2B|public
Hypersalivation|ICD-11: DA04.6|public
Hyponatraemia|ICD-11: 5C72|public
Impetigo|ICD-11: 1B72|public
Incontinence|ICD-11: MF50.2|public
Infantile malignant osteopetrosis|ICD-11: LD24.10|public
Infertility|ICD-11: GB04|public
Inner ear disease|ICD-11: AB30-AB37|public
Intervertebral disc degeneration|ICD-11: FA80|public
Klebsiella pneumonie|ICD-11: CA40.03|public
Leigh syndrome|ICD-11: 5C53.24|public
Leptomeningeal sarcoma|ICD-11: 2A01.0|public
Long-chain fatty acid oxidation disorder|ICD-11: BC43.10|public
Lupus nephritis|ICD-11: 4A40.0Y|public
Lyme borreliosis|ICD-11: 1C1G|public
Lymphatic filariasis|ICD-11: 1F66.3|public
Malignant mesothelioma|ICD-11: 2C26.0|public
Meningitis|ICD-11: 1D01|public
Meningococcal disease|ICD-11: 1C1C|public
Metastatic gastric or gastroesophageal junction cancer|ICD-11: 2D8Y|public
Molluscum contagiosum infection|ICD-11: 1E76|public
Mood/affect symptom|ICD-11: MB24|public
Muscle injury|ICD-11: NC16.3|public
Muscular dystrophy|ICD-11: 8C70|public
Myocardial infarction|ICD-11: BA41-BA43|public
Non-arteritic anterior ischemic optic neuropathy|ICD-11: 9C40.40|public
Obstructive sleep apnoea|ICD-11: 7A41|public
Oesophagitis|ICD-11: DA24|public
Oesophagogastric junction cancer|ICD-11: 2B71|public
Opioid use disorder|ICD-11: 6C43|public
Paronychia|ICD-11: 1F23.13|public
Pediatric cancer|ICD-11: 2A00-2F9Z|public
Phenylketonuria|ICD-11: 5C50.0|public
Piscicide|ICD-11: N.A.|public
Pompe disease|ICD-11: 5C51.3|public
Primary axillary hyperhidrosis|ICD-11: EE00.01|public
Primary immune thrombocytopenia|ICD-11: 3B64.10|public
Primary myelofibrosis|ICD-11: 2A20.2|public
Pten-deficient tumour|ICD-11: 2C50-2F93|public
Pulmonary embolism|ICD-11: BB00|public
Reproduction|ICD-11: JA00-JA02|public
Schizophrenia|ICD-11: 6A20|public
Severe acute respiratory syndrome|ICD-11: 1D65|public
Spinal stenosis|ICD-11: FA82|public
Structural developmental anomalies of liver|ICD-11: LB20.0|public
Type 2 diabetes|ICD-11: 5A11|public
Undiagnosed blood transfusion|ICD-11: QB98|public
Vascular dementia|ICD-11: 6D81|public
Vertigo meniere disease|ICD-11: AB31.0|public
Vitamin B6 deficiency|ICD-11: 5B5D|public
leukaemia|ICD-11: 2A60-2B33|public
Abdominal surgical procedure|ICD-11: N.A.|public
Acquired immune deficiency syndrome|ICD-11: 1C62.3|public
Acute myeloid leukaemia|ICD-11: 2A60|public
Adrenal cancer|ICD-11: 2D11|public
Anaplastic glioma|ICD-11: 2A00.0|public
Anogenital warts|ICD-11: 1A95|public
Autoimmune hepatitis|ICD-11: DB96.0|public
B-cell non-hodgkin lymphoma|ICD-11: 2B33.5|public
Bronchitis|ICD-11: CA20|public
CLN1 disease|ICD-11: 5C56.1|public
Cachexia|ICD-11: MG20|public
Cardiac failure|ICD-11: BD10-BD13|public
Choreiform disorder|ICD-11: 8A01|public
Choroid plexus carcinoma|ICD-11: 2A02.12|public
Choroidal neovascularization|ICD-11: 9B76|public
Chronic low back pain|ICD-11: MG30.02|public
Diphtheria|ICD-11: 1C17|public
Duchenne muscular dystrophy|ICD-11: 8C70.1|public
Eosinophilic esophagitis|ICD-11: DA24.1|public
Eyelid inflammatory disorder|ICD-11: 9A02|public
Female hypogonadism|ICD-11: GA30.6|public
Female sexual arousal dysfunction|ICD-11: HA01.1|public
Filovirus disease|ICD-11: 1D60|public
Gangrene|ICD-11: MC85|public
Gastric adenocarcinoma|ICD-11: 2B72|public
Genetic cardiac arrhythmia|ICD-11: BC65|public
Gynecologic cancer|ICD-11: 2F33-2F76|public
Hot flushes|ICD-11: GA30|public
Hyperuricaemia|ICD-11: 5C55.Y|public
Hypoactive sexual desire dysfunction|ICD-11: HA00|public
Ileus|ICD-11: DA93.0|public
Immunoproliferative disorder|ICD-11: 2B32|public
Insecticide|ICD-11: N.A.|public
Insufficient tear production|ICD-11: 5B55.Y|public
Intrathoracic organs injury|ICD-11: NB32|public
Leishmania infection|ICD-11: 1F54.0|public
Lymphangioleiomyomatosis|ICD-11: CB07|public
Lymphoma|ICD-11: 2A80-2A86|public
Major depressive disorder|ICD-11: 6A70.3|public
Male sexual disorder|ICD-11: HA02.0|public
Malignant pleural mesothelioma|ICD-11: 2C26.0|public
Mesothelioma|ICD-11: 2C51.2|public
Migraine|ICD-11: 8A80|public
Moderate and severe hypertension|ICD-11: BA00.Z|public
Morning sickness disorder|ICD-11: SC00|public
Mucopolysaccharidosis type IIIA|ICD-11: 5C56.3Y|public
Muscle fatigue|ICD-11: FB32.5|public
Myopia|ICD-11: 9D00.0|public
Nervous system paraneoplastic/autoimmune disorder|ICD-11: 8E4A|public
Neuromyelitis optica|ICD-11: 8A43|public
Neuronal ceroid lipofuscinosis|ICD-11: 5C56.1|public
Nocturia|ICD-11: MF55|public
Non-alcoholic steatohepatitis|ICD-11: DB92.1|public
Non-eosinophilic asthma|ICD-11: CA23|public
Pain|ICD-11: MG30-MG3Z|public
Parkinsonism|ICD-11: 8A00|public
Prostate cancer|ICD-11: 2C82|public
Pseudoxanthoma elasticum|ICD-11: EC40|public
Reactive arthropathy|ICD-11: FA11|public
Rett syndrome|ICD-11: LD90.4|public
Rhabdomyosarcoma|ICD-11: 2B55|public
Seborrhea|ICD-11: ED91.2|public
Senile lentigines|ICD-11: ED61.0|public
Spontaneous abortion|ICD-11: JA00.0|public
Stress|ICD-11: 6B40-6B45|public
Substance use disorder|ICD-11: 6C4Z|public
Testicular dysfunction|ICD-11: 5A81|public
Tinnitus|ICD-11: MC41|public
Upper respiratory infection|ICD-11: CA07|public
Venous thrombosis|ICD-11: BA43|public
Ventricular fibrillation|ICD-11: BC71.1|public
Whooping cough|ICD-11: 1C12|public
Wound healing|ICD-11: EL8Y|public
X-linked chronic granulomatous disease|ICD-11: 4A00|public
Abdominal stomach pain|ICD-11: DD91.4|public
Acne vulgaris|ICD-11: ED80|public
Acquired prion disease|ICD-11: 8E01|public
Acute heart failure|ICD-11: BD10-BD13|public
Acute lung injury|ICD-11: NB32.3|public
Acute or chronic pain|ICD-11: MG30-MG31|public
Adrenal adenoma|ICD-11: 2F37.Y|public
Advanced solid tumour|ICD-11: 2A00-2F9Z|public
Allergic/hypersensitivity disorder|ICD-11: 4A80-4A8Z|public
Autoimmune disease|ICD-11: 4A40-4A45|public
Binge eating disorder|ICD-11: 6B82|public
Bone disease|ICD-11: FC0Z|public
Bronchioalveolar carcinoma|ICD-11: 2C25.0|public
Candidiasis|ICD-11: 1F23|public
Cerebral salt-wasting syndrome|ICD-11: 5C72|public
Christmas disease|ICD-11: 3B11|public
Chronic periodontitis|ICD-11: DA0C.Y|public
Clostridioides difficile infection|ICD-11: 1A04|public
Condyloma|ICD-11: 1A95|public
Conjunctiva disorder|ICD-11: 9A60|public
Cryptococcal meningitis infection|ICD-11: 1D01.10|public
Depression|ICD-11: 6A70-6A7Z|public
Diabetic cataract|ICD-11: 9B10.21|public
Dysbetalipoproteinemia|ICD-11: 5C80.2|public
Eexposure to noxious substances harmful effect|ICD-11: NE61|public
Essential tremor or related tremors|ICD-11: 8A04.1|public
Factor IX deficiency|ICD-11: 3B11|public
Folate deficiency anaemia|ICD-11: 3A02|public
Gallbladder disease|ICD-11: DC11.3|public
Gastroparesis|ICD-11: DA41.00|public
Heart beat abnormality|ICD-11: MC81|public
Heart failure|ICD-11: BD10-BD13|public
Heart failure with reduced ejection fraction|ICD-11: BD11.2|public
Histoplasma infection|ICD-11: 1F2A.Z|public
Homocystinuria|ICD-11: 5C50.B|public
Hookworm infection|ICD-11: 1F68|public
Human papillomavirus infection|ICD-11: 1A9Y|public
Huntington disease|ICD-11: 8A01.10|public
Hyperglycemia|ICD-11: MA18.0|public
Impacted cerumen|ICD-11: AA42|public
Intermittent explosive disorder|ICD-11: 6C73|public
Intestinal toxicities from therapy|ICD-11: DA94.1|public
Leber congenital amaurosis|ICD-11: 9B70|public
Leukopenia|ICD-11: 4B00.0Z|public
Malignant pleural effusion|ICD-11: 2D72|public
Middle East Respiratory Syndrome (MERS)|ICD-11: 1D64|public
Muscle hypertonia|ICD-11: MB47.8|public
Myelodysplastic syndrome|ICD-11: 2A37|public
Myelopathy|ICD-11: 8B42|public
Myotonic disorder|ICD-11: 8C71|public
Neonatal respiratory distress|ICD-11: CB04.2|public
Neurobehavioral disorder|ICD-11: 8A00-8A0Z|public
Obesity|ICD-11: 5B80-5B81|public
Open-angle glaucoma|ICD-11: 9C61|public
Ophthalmic disease|ICD-11: 5A02.0|public
Opioid use disorder|ICD-11: 6C43.2Z|public
Peripheral arterial disease|ICD-11: BD4Z|public
Premenstrual syndrome|ICD-11: GA34.40|public
Preterm labour|ICD-11: JB00|public
Propagation of disease by mosquito|ICD-11: 1C80-1D48|public
Refractory hematologic malignancy|ICD-11: 2A85.5|public
Reversal of the anticoagulant effects of dabigatran|ICD-11:N.A.|public
Rosacea|ICD-11: ED90|public
Seizure disorder|ICD-11: 8A6Z|public
Semliki forest virus infection|ICD-11: 1D9Y|public
Serious infection|ICD-11: 1H0Z|public
Skin fungal infection disorder|ICD-11: EA60|public
Skin infection|ICD-11: 1F28-1G0Z|public
Small intestine motility disorder|ICD-11: DA93|public
Solid tumour/cancer|ICD-11: 2A00-2F9Z|public
Spinocerebellar ataxia|ICD-11: 8A03.16|public
Synovial sarcoma|ICD-11: 2B5A|public
Thrombotic microangiopathy|ICD-11: 3B65|public
Trigeminal nerve disorder|ICD-11: 8B82|public
Tuberous sclerosis|ICD-11: LD2D.2|public
Typhoid fever|ICD-11: 1A07|public
Urinary incontinence|ICD-11: MF50.2|public
Vitamin K deficiency|ICD-11: 5B59|public
XIAP deficiency|ICD-11: 4A01.22|public
Abnormal urine serum electrolytes level|ICD-11: MF98|public
Acute myeloid lymphoma|ICD-11: 2A80|public
Acute repetitive seizure|ICD-11: 8A67|public
Adenocarcinoma|ICD-11: 2D40|public
Alopecia areata|ICD-11: ED70.2|public
Alpha-mannosidosis|ICD-11: 5C56.21|public
Anaplastic large cell lymphoma|ICD-11: 2A90.A|public
Anaplastic mixed oligoastrocytoma|ICD-11: 2A00.0Y|public
Anorexia nervosa|ICD-11: 6B80|public
Astrocytoma|ICD-11: 2A00.0Y|public
Blastomycosis|ICD-11: 1F22|public
Body-focused behaviour disorder|ICD-11: 6B25|public
Carcinoid syndrome|ICD-11: 5B10|public
Cardiomegaly|ICD-11: BC45|public
Central and peripheral nervous disease|ICD-11: 8A04-8E7Z|public
Chronic HBV infection|ICD-11: 1E51.0Z|public
Chronic low-back pain|ICD-11: MG30|public
Chronic suppurative otitis media|ICD-11: AA91|public
Colorectal cancer|ICD-11: 2B91.Z|public
Corneal disease|ICD-11: 9A78.Z|public
Cutaneous lupus erythematosus|ICD-11: EB50-EB5Z|public
Disorder of calcium metabolism|ICD-11: 5C64.5|public
Duodenal ulcer|ICD-11: DA63|public
Dwarfism|ICD-11: 5B11|public
Dysuria|ICD-11: MF50.7|public
Ear disease|ICD-11: AA0Y-AC0Z|public
Fallopian tube cancer|ICD-11: 2C74|public
GM1 gangliosidosis|ICD-11: 5C56.00|public
HCV-1 and HCV-4 infection|ICD-11: 1E51|public
High cholesterol level|ICD-11: 5C80.0|public
Hodgkin lymphoma|ICD-11: 2B30|public
Hypernatremia|ICD-11: 5C71|public
Hypophosphatemic rickets|ICD-11: 5C63.22|public
Hypothyroidism|ICD-11: 5A00|public
Immune System disease|ICD-11: 4A01-4B41|public
Immune dysregulation|ICD-11: 4A01.2|public
Insulinoma|ICD-11: 2C10.1|public
Ischemia-reperfusion injury|ICD-11: DB98.B|public
Liposarcoma|ICD-11: 2B59|public
Medical abortion|ICD-11: JA00.1Z|public
Microorganisms infection|ICD-11: 1A00-1A09|public
Mineral-electrolyte metabolism disorder|ICD-11: 5C64|public
Mitochondrial respiratory chain disease|ICD-11: 5C53.2|public
Monogenic autoinflammatory syndrome|ICD-11: 4A60|public
Muscle disease|ICD-11: FB3Z|public
Narcotic depression|ICD-11: 6A7Z|public
Nasopharyngeal carcinoma|ICD-11: 2B6B|public
Neurofibromatosis type 1|ICD-11: LD2D.10|public
Onychomycosis|ICD-11: EE12.1|public
Ovarian epithelial cancer|ICD-11: 2C73|public
Pachyonychia|ICD-11: EE10.3|public
Palmoplantar pustulosis|ICD-11: EA90.42|public
Paroxysmal nocturnal haemoglobinuria|ICD-11: 3A21|public
Pediatric immunological disease|ICD-11: GB4Z|public
Pediatric lennox-gastaut syndrome|ICD-11: 8A62.1|public
Pouchitis|ICD-11: N.A.|public
Progressive multifocal leukoencephalopathy|ICD-11: 8A45.02|public
Proliferative vitreoretinopathy|ICD-11: 9B78.2|public
Radiographic contrast medium|ICD-11: N.A.|public
Recurring respiratory infection|ICD-11: CA07-CA45|public
Sensation disturbance|ICD-11: MB40|public
Severe asthma|ICD-11: CA23|public
Sexually transmitted infection|ICD-11: 1A9Z|public
Social anxiety disorder|ICD-11: 6B04|public
Spine/trunk injury|ICD-11: ND51|public
Squamous head and neck cell carcinom|ICD-11: 2D60.0|public
Stargardt disease|ICD-11: 9B70|public
Tension-type headache|ICD-11: 8A81|public
Tuberculosis|ICD-11: 1B10-1B14|public
Uveal Melanoma|ICD-11: 2D0Y|public
Vasodilatation of extremities|ICD-11: EG00|public
Venous leg ulcer|ICD-11: BD74.3|public
Vitiligo|ICD-11: ED63.0|public
Vitreoretinopathy|ICD-11: 9B78|public
Vitreous body disorder|ICD-11: 9B8Z|public
Vulvar squamous intraepithelial lesion|ICD-11: 2E66.1|public
Zika virus infection|ICD-11: 1D48|public
Abnormal micturition|ICD-11: MF50|public
Acquired cutaneous blood vessel malformation|ICD-11: EF20|public
Acute pain|ICD-11: MG31|public
Adaptive immunity immunodeficiency|ICD-11: 4A01|public
Adult respiratory distress syndrome|ICD-11: CB00|public
Aging|ICD-11: MG2A|public
Alcoholic hepatitis|ICD-11: DB94.1|public
Amyloid cardiomyopathy|ICD-11: 5D00.20|public
Anaemia|ICD-11: 3A90|public
Antiphospholipid syndrome|ICD-11: 4A45|public
Ascariasis|ICD-11: 1F62|public
Bronchial asthma|ICD-11: CA23|public
CLN6 disease|ICD-11: 5C56.1|public
Caerulein stimulated gastric and pancreatic secretion|ICD-11: 5A4Y|public
Calciphylaxis|ICD-11: EB90.42|public
Cardiac events|ICD-11: MC82|public
Cholelithiasis|ICD-11: DC11|public
Cryptosporidiosis|ICD-11: 1A32|public
Dental plaque|ICD-11: DA08.4|public
Dercum disease|ICD-11: EF02.1|public
Dermal neurofibromatoses|ICD-11: LD2D|public
Desmoid tumour|ICD-11: 2F7C|public
Diabetic kidney disease|ICD-11: GB61.Z|public
Distal renal tubular acidosis|ICD-11: GB90.44|public
Dizziness|ICD-11: MB48|public
Enuresis|ICD-11: 6C00|public
Escherichia coli infection|ICD-11: 1A03|public
Food allergy|ICD-11: 4A85.2|public
Gastrointestinal stromal tumour|ICD-11: 2B5B|public
Gaucher disease|ICD-11: 5C56.0Y|public
General pain disorder|ICD-11: 8E43|public
Generalized anxiety disorder|ICD-11: 6B00|public
Generalized pustular psoriasis|ICD-11: EA90.40|public
Grade IV malignant glioma|ICD-11: 2A00.0|public
Haemolytic anemia|ICD-11: 3A20-3A2Z|public
Hair loss|ICD-11: ED70|public
Hepatic veno-occlusive disease|ICD-11: DB98.6|public
Hyperaldosteronism|ICD-11: 5A72|public
Hyperinsulinemia|ICD-11: 5A4Y|public
Hyperkinetic movement disorder|ICD-11: 6B60.8|public
Hypocalcemia|ICD-11: 5B5K.1|public
Hypocholesterolemia|ICD-11: 5C81|public
Immunodeficiency|ICD-11: 4A00-4A85|public
Inborn metabolism deficiency|ICD-11: 5C50-5C59|public
Inflammation associated with osteoarthritis|ICD-11: FA00-FA05|public
Insomnia|ICD-11: 7A00-7A0Z|public
Legionella infection|ICD-11: 1C19|public
Lesion|ICD-11: 8A00-8C12|public
Magnesium intoxication|ICD-11: 5C64.4|public
Malignant uterine tumour|ICD-11: 2C76.Z|public
Menstrual cycle bleeding disorder|ICD-11: GA20|public
Motor neurone disease|ICD-11: 8B60|public
Myocardial fibrosis|ICD-11: BC43.20|public
NSAID-associated gastric ulcer|ICD-11: DA60|public
Narcolepsy type 2|ICD-11: 7A20.1|public
Nervous system cancer|ICD-11: 2A00|public
Neuroblastoma|ICD-11: 2D11.2|public
Occlusive coronary artery disease|ICD-11: BA80|public
Osteoporosis|ICD-11: FB83.0|public
Paroxysmal nocturnal haemoglobinuria|ICD-11: 3A21.0|public
Phospholipid syndrome|ICD-11: 4A45|public
Platelet aggregation disorder|ICD-11: 3B62|public
Postoperative pain|ICD-11: MG30-MG3Z|public
Primary biliary cirrhosis|ICD-11: DB96.1|public
Progressive familial intrahepatic cholestasis|ICD-11: 5C58.03|public
Radiculopathy|ICD-11: 8B93|public
Recurrent malignant glioma|ICD-11: 2A00.0|public
Refractory chronic myeloid leukaemia|ICD-11: 2A20|public
Rheumatic fever|ICD-11: 1B40|public
Rheumatoid arthritis|ICD-11: FA20|public
Rickets|ICD-11: 5B57|public
Small-cell lung cancer|ICD-11: 2C25.Y|public
Stomach cancer|ICD-11: 2B72|public
Systemic sclerosis|ICD-11: 4A42|public
T-cell mediated immune dysfunction|ICD-11: 4A01.1Y|public
Therapeutic intestinal toxicity|ICD-11: DA94|public
Type-2 diabetes|ICD-11: 5A11|public
Uterine ligament/parametrium/uterine adnexa neoplasm|ICD-11: 2C72|public
Weight loss|ICD-11: MG43.5|public
X-linked retinoschisis|ICD-11: 9B73.11|public
AIDS-related lymphoma|ICD-11: 2B33.5|public
Acute bronchial asthma|ICD-11: CA23|public
Alcohol use disorder|ICD-11: 6C40.2|public
Alkalosis|ICD-11: 5C74|public
Allergic contact dermatitis|ICD-11: EK00|public
Alveolar soft part sarcoma|ICD-11: 2A60-2C35|public
Alzheimer's dementia|ICD-11: 6D80|public
Anaerobic bacterial infection|ICD-11: 1A00-1A09|public
Anal intraepithelial neoplasia|ICD-11: 2E92.5|public
Angiosarcoma|ICD-11: 2B56|public
Atherosclerosis|ICD-11: BD40|public
Autosomal dominant hypocalcemia|ICD-11: 5A50.0Y|public
Azoospermia|ICD-11: GB04.0|public
Bone cancer|ICD-11: 2B5Z|public
Candidemia|ICD-11: 1F23.3Y|public
Canine and feline spontaneous neoplasm|ICD-11: 2A00-2F9Z|public
Carotid artery disease|ICD-11: 8B10|public
Chronic cough|ICD-11: MD12|public
Chronic pancreatitis|ICD-11: DC32|public
Chronic plaque psoriasis|ICD-11: EA90.0|public
Circulatory system disease|ICD-11: BE2Z|public
Corneal deformity|ICD-11: 9A78.5|public
Coronary ischemia|ICD-11: BA50-BA51|public
Diarrhea|ICD-11: DA90|public
Dissociative neurological symptom disorder|ICD-11: 6B60|public
Dystonia|ICD-11: 8A02|public
Endocarditis|ICD-11: BB40-BA42|public
Essential hypertension|ICD-11: BA00|public
Factor VII deficiency|ICD-11: 3B14|public
Fetal growth restriction|ICD-11: KA20.1Z|public
Frailty|ICD-11: MG2A|public
Functional bowel disorder|ICD-11: DD91|public
Graves disease|ICD-11: 5A02.0|public
Head-neck squamous cell carcinoma|ICD-11: 2D60.0|public
Heavy metal poisoning|ICD-11: NE60|public
Hemangiosarcoma|ICD-11: 2B56.1|public
Hyperphenylalaninemia|ICD-11: 5C50|public
Hypertensive emergency|ICD-11: BA03|public
Hypo-parathyroidism|ICD-11: 5A50|public
Hypopharyngeal cancer|ICD-11: 2B6D|public
Intracerebral haemorrhage|ICD-11: 8B00|public
Junin virus infection|ICD-11: 1D6Y|public
Keloid|ICD-11: EE60|public
Keratoconjunctivitis sicca|ICD-11: 9A79|public
Klebsiella infection|ICD-11: 1C4Y|public
Lambert-Eaton syndrome|ICD-11: 8C62|public
Lipoatrophy/lipodystrophy|ICD-11: EF01|public
Lips/oral mucosa miscellaneous disorder|ICD-11: DA02|public
Malignant digestive organ neoplasm|ICD-11: 2C11|public
Myelodysplastic malignancy|ICD-11: 2A44|public
Neurogenic orthostatic hypotension|ICD-11: 8D87.0Y|public
Non-alcoholic fatty liver disease|ICD-11: DB92|public
Non-small-cell lung cancer|ICD-11: 2C25|public
